Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,1,0,0,6900,0,1,0,8.6,8.8,10,30,0,1,0,0,0,1,282,301.0,1,18,1,-137.61
0,1,0,0,6900,0,1,0,8.6,8.8,8,59,0,2,0,0,0,0,282,301.0,1,18,1,-272.05999999999995
0,1,0,1,6900,0,1,0,8.6,8.8,10,49,1,3,0,0,0,0,282,301.0,1,18,1,-336.19999999999993
0,1,0,1,6900,0,1,0,8.6,8.8,9,50,1,4,0,0,0,0,282,301.0,1,18,1,-438.55
0,1,0,0,6900,0,1,0,8.6,8.8,8,49,0,1,0,0,0,1,282,301.0,1,19,1,-155.42000000000002
0,1,0,0,6900,0,1,0,8.6,8.8,8,58,0,2,0,0,0,1,282,301.0,1,19,1,-318.51
0,1,0,1,6900,0,1,0,8.6,8.8,9,59,1,3,0,0,0,1,282,301.0,1,19,1,-389.05
0,1,0,1,6900,0,1,0,8.6,8.8,8,50,1,4,0,0,0,0,282,301.0,1,19,1,-486.1400000000001
0,1,0,1,6900,0,1,0,8.6,8.8,12,58,1,5,0,0,0,0,282,301.0,1,19,1,-462.8299999999999
0,1,0,0,6900,0,1,0,8.6,8.8,8,31,0,1,0,0,0,1,282,301.0,1,20,1,-163.27000000000004
0,1,0,0,6900,0,1,0,8.6,8.8,11,58,0,2,0,0,0,0,282,301.0,1,20,1,-303.14
0,1,0,1,6900,0,1,0,8.6,8.8,7,58,1,3,0,0,0,0,282,301.0,1,20,1,-356.3799999999999
0,1,0,1,6900,0,1,0,8.6,8.8,12,50,1,4,0,0,0,0,282,301.0,1,20,1,-358.1500000000001
0,1,0,0,6900,0,1,0,8.6,8.8,9,30,0,1,0,0,0,1,282,301.0,1,21,1,-163.27000000000004
0,1,0,0,6900,0,1,0,8.6,8.8,8,58,0,2,0,0,0,1,282,301.0,1,21,1,-324.11
0,1,0,1,6900,0,1,0,8.6,8.8,8,58,1,3,0,0,0,0,282,301.0,1,21,1,-370.73
0,1,0,1,6900,0,1,0,8.6,8.8,6,31,1,4,0,0,0,0,282,301.0,1,21,1,-518.6799999999998
0,1,0,1,6900,0,1,0,8.6,8.8,7,50,1,5,0,0,0,0,282,301.0,1,21,1,-469.3999999999999
0,1,0,0,6900,0,1,0,8.6,8.8,6,30,0,1,0,0,0,1,282,301.0,1,22,1,-161.01999999999998
